codigo,descricao
0,Não Informado
1,Erradicação da pobreza
2,Fome zero e agricultura sustentável
3,Saúde e bem-estar
4,Educação de qualidade
5,Igualdade de gênero
6,Água limpa e saneamento
7,Energia limpa e acessível
8,Trabalho de decente e crescimento econômico
9,Inovação infraestrutura
10,Redução das desigualdades
11,Cidades e comunidades sustentáveis
12,Consumo e produção responsáveis
13,Ação contra a mudança global do clima
15,Vida terrestre
16,Paz, justiça e instituições eficazes
17,Parcerias e meios de implementação
